LabID,SiteName,SiteID,Country,Province,Age,Error,Taxa,Material,Condition,d13C,Method,Source
Beta-338653,Wolf Village,42Ut0273,USA,Utah,920,30,Zea mays,Maize,NA,-10.9,NA,p3k14c
NSRL-10591,Cerro los Torres,,Mexico,Chihuahua,2920,55,Zea mays,maize cupule,NA,NA,AMS,p3k14c
Beta-95269,Six-Toe Shelter,,USA,Utah,1830,70,Zea mays,cob,NA,-10.1,NA,p3k14c
Beta-95268,Six-Toe Shelter,,USA,Utah,2030,90,Zea mays,cob,NA,-9.7,NA,p3k14c
Beta-95271,Six-Toe Shelter,,USA,Utah,1940,80,Zea mays,cob,NA,-9,NA,p3k14c
Beta-95270,Six-Toe Shelter,,USA,Utah,1060,70,Zea mays,cob,NA,-8.6,NA,p3k14c
NSRL-3983,Cerro Juanaquena,,Mexico,Chihuahua,2980,50,Zea mays,maize cob,NA,-12.2,AMS,p3k14c
NSRL-3986,Cerro Juanaquena,,Mexico,Chihuahua,2890,50,Zea mays,maize cob,NA,-9.9,AMS,p3k14c
NSRL-3995,Cerro Juanaquena,,Mexico,Chihuahua,2930,50,Zea mays,17 maize cupules,NA,-9.3,AMS,p3k14c
NSRL-10861,Cerro Juanaquena,,Mexico,Chihuahua,2140,40,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-10594,Cerro Juanaquena,,Mexico,Chihuahua,2190,35,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-12482,Cerro Juanaquena,,Mexico,Chihuahua,2300,60,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-10862,Cerro Juanaquena,,Mexico,Chihuahua,2870,50,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-11430,Cerro Juanaquena,,Mexico,Chihuahua,2940,75,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-10596,Cerro Juanaquena,,Mexico,Chihuahua,2960,45,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-10600,Cerro Juanaquena,,Mexico,Chihuahua,3010,65,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-10598,Cerro Juanaquena,,Mexico,Chihuahua,3040,80,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-10595,Cerro Juanaquena,,Mexico,Chihuahua,3050,45,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-12485,Cerro Juanaquena,,Mexico,Chihuahua,3050,35,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-10599,Cerro Juanaquena,,Mexico,Chihuahua,3060,40,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-10593,Cerro Juanaquena,,Mexico,Chihuahua,3080,70,Zea mays,Maize,NA,NA,AMS,p3k14c
NSRL-10597,Cerro Juanaquena,,Mexico,Chihuahua,3080,40,Zea mays,Maize,NA,NA,AMS,p3k14c
Beta-67495,Dry Laid Heaven,42Ga0105,USA,Utah,1720,60,Zea mays,Zea Mays,NA,-12,NA,p3k14c
Beta-34937,Pantry Alcove,42Ga0103,USA,Utah,1570,70,Zea mays,Zea Mays,NA,-12.1,NA,p3k14c
Beta-34936,Pantry Alcove,42Ga0103,USA,Utah,1640,80,Zea mays,Zea Mays,NA,-12,NA,p3k14c
Beta-227645,NA,42Cb2588,USA,Utah,1070,40,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-34945,Gates Roost,42Ka0178,USA,Utah,1420,70,Zea mays,Zea Mays,NA,-9.8,NA,p3k14c
Beta-34935,Sheep Horn Alcove,42Ga0102,USA,Utah,1180,70,Zea mays,Zea Mays,NA,-11.9,NA,p3k14c
Beta-34934,Sheep Horn Alcove,42Ga0102,USA,Utah,1520,100,Zea mays,Zea Mays,NA,-11.5,NA,p3k14c
Beta-345851,Spotten Cave,42Ut0104,USA,Utah,900,30,Zea mays,Maize,NA,-11.5,NA,p3k14c
Beta-345853,Spotten Cave,42Ut0104,USA,Utah,900,30,Zea mays,Maize,NA,-11.4,NA,p3k14c
Beta-345854,Spotten Cave,42Ut0104,USA,Utah,1040,30,Zea mays,Maize,NA,-8.8,NA,p3k14c
Beta-134608,NA,42Ga1541,USA,Utah,1230,60,Zea mays,Zea Mays,NA,-9.5,NA,p3k14c
Beta-175754,Six Figures,42Em2881,USA,Utah,1130,40,Zea mays,Zea Mays,NA,-10.9,AMS,p3k14c
Beta-368071,Ravens Roost,42Ka6160,USA,Utah,1610,30,Zea mays,Zea Mays,NA,-8.2,AMS,p3k14c
